sentence,start_time,end_time,label,certainty_score,sentiment_score
"Good morning, and thank you all for attending the CVS house that quota 2024.",1.3,7.7,neutral,0.9993940591812134,0.0
"And in school and webcast, my name is Reka and I will be your moderator for today.",7.7,13.1,neutral,0.999537467956543,0.0
All lines will be muted during the presentation portion of the call.,14.0,17.4,neutral,0.9995768666267395,0.0
"We look at Unity for questions and answers at the end, I would now like to pass the conference over to your host.",17.4,24.2,neutral,0.9995976090431213,0.0
"Narrowing a grass at CVS Health, thank you.",24.2,27.4,neutral,0.9992846846580505,0.0
You may proceed Larry.,27.6,29.0,neutral,0.9974000453948975,0.0
Good morning.,29.6,30.2,neutral,0.9989935755729675,0.0
And welcome to the CVS Health.,30.5,31.8,neutral,0.9991443157196045,0.0
Third quarter 2024 earnings call on webcast.,31.8,34.7,neutral,0.9994373917579651,0.0
I'm Larry McGraw.,34.7,36.0,neutral,0.9994428753852844,0.0
Chief strategy officer.,36.0,36.9,neutral,0.999454915523529,0.0
"I'm joined this morning by David Joyner, president and chief executive officer and Tom.",36.9,41.6,neutral,0.9995799660682678,0.0
"Cali, Chief Financial Officer following our prepared.",41.6,45.0,neutral,0.9995524287223816,0.0
Remarks will host a question and answer session that will include additional members of the leadership team.,45.0,49.5,neutral,0.9978647828102112,0.0
"Our press release and slide presentation have been posted to our website along with our form 10-q, filed this morning with the SEC.",50.8,57.3,neutral,0.9996340274810791,0.0
"Today's call is also being broadcast on our website, where it will be archived for one year.",58.5,63.2,neutral,0.9994409680366516,0.0
During this call will make certain forward-looking statements are forward-looking statements are subject to significant risks and uncertainties that could cause actual results to differ materially from currently projected results.,65.0,77.9,neutral,0.9995942711830139,0.0
"We strongly encourage you, to review the reports we filed with the SEC regarding these risks and uncertainties in particular.",77.9,84.7,neutral,0.9993347525596619,0.0
"Those that are described in the cautionary statement concerning, forward-looking statements and risk factors in our most recent annual report filed on form 10-K. Our quarterly report on form 10-q while this morning and our recent filings on form 8-k including this morning's earnings press release.",84.7,102.6,neutral,0.9995798468589783,0.0
Nice.,103.2,103.5,positive,0.9949107766151428,0.9949107766151428
During this call will use non-gaap measures when talking about the company's financial performance and financial condition and you can find a Reconciliation of these non-gaap measures in this morning's press release.,103.5,114.5,neutral,0.9996410608291626,0.0
And in the reconciliation document posted to the investor relations portion of our website with us.,114.5,120.0,neutral,0.9995668530464172,0.0
I'd like to turn the call over to David David.,120.1,123.2,neutral,0.9995597004890442,0.0
"Thank you, Larry and good morning everyone.",124.1,126.4,neutral,0.9994586110115051,0.0
Before I begin.,126.5,127.5,neutral,0.9994404911994934,0.0
"I would like to thank Karen Lynch for her years of leadership, dedication and strategic Vision here in as a friend, to me and many others across the CVS Health Organization, and we wish her all the best.",127.6,138.2,neutral,0.9995124340057373,0.0
"I am incredibly honored to leave CVS health, during this critical time my entire career is deeply connected with this Enterprise.",140.1,146.8,neutral,0.9829713702201843,0.0
"When I return to CVS health and 2023, it was because of my strong belief and our purpose and strategy.",146.8,154.4,positive,0.9889040589332581,0.9889040589332581
"Today, CVS Health, serve, 185 million people across the u.s. and we are uniquely positioned to help them navigate their Healthcare journey and the past few weeks.",154.4,166.1,positive,0.997032880783081,0.997032880783081
"Since I took on this role, I have seen firsthand and the dedication pride and commitment of our employees to CVS health and our vision to deliver lower cost better experiences and Better Health outcomes for our members clients and patients I began my career at Aetna, and that's spent the last 37 years managing, Health Care Services, teams with the focus on driving Innovation, strong execution, and consistent financial performance.",166.1,193.6,positive,0.9943175911903381,0.9943175911903381
Our career has been defined by navigating through change and evolving markets.,193.6,198.7,neutral,0.9995518326759338,0.0
Is the leader Caremark.,200.0,201.1,positive,0.9981054067611694,0.9981054067611694
"I engage with health plans, employers pharmacies and the broader Health Care delivery system in our country.",201.1,206.7,positive,0.9973999261856079,0.9973999261856079
These experiences gave me a diverse set of perspectives on the challenges and opportunities inherent to our system.,206.7,214.5,positive,0.9736223220825195,0.9736223220825195
I've mobilized teams who have helped reshape the pharmacy benefit landscape by lowering cost increasing transparency and driving greater accessibility.,214.9,224.3,positive,0.9982432126998901,0.9982432126998901
Many of those Innovations have been made possible by integrating the sets across this Enterprise at CVS Health.,224.3,233.0,neutral,0.9975718855857849,0.0
"Each of our businesses is formidable and its own, right?",233.0,236.4,neutral,0.9987509250640869,0.0
"We have the leading PBM, the best run Pharmacy in this country.",236.8,241.2,positive,0.9981050491333008,0.9981050491333008
The storied franchise through Aetna and Industry leading Healthcare delivery assets or collection of businesses and on reach and capabilities.,241.2,251.5,neutral,0.9996144771575928,0.0
Allow us to leave the industry forward with Innovative and Market Moving Solutions.,251.5,256.3,positive,0.9979907274246216,0.9979907274246216
We were Pioneers in advancing the biosimilar adoption by establishing a CO manufacturing capacity through Cordova's making the necessary formulary changes with Caremark and executing through our CVS specially operations.,258.2,272.6,positive,0.9982089996337891,0.9982089996337891
They were our leadership and Innovation.,274.0,276.0,neutral,0.9995162487030029,0.0
We were able to drive down commercial specially trend for clients that use our integrated biosimilar approach to 1.3 percent the lowest level in recent history.,276.1,287.7,positive,0.9924267530441284,0.9924267530441284
We continue to expand our product offering and drive Innovation for Aetna.,287.8,291.4,positive,0.9982681274414062,0.9982681274414062
"Self-insured customers last month, we introduced simple pay, the differentiated offering for our commercial customers that Greater price certainty before a visit or treatment instead of bills.",291.4,305.6,positive,0.9972611665725708,0.9972611665725708
And benefit details members receive just one simple monthly statement that summarizes all of their medical and Pharmacy claims.,305.6,312.8,neutral,0.9992448091506958,0.0
Its offering provides a simpler end-to-end member experience and access to affordable.,313.9,319.2,positive,0.9897865056991577,0.9897865056991577
Quality Innovative Healthcare remembers and plan sponsors.,319.4,323.5,neutral,0.9958192110061646,0.0
"In addition, this product has been shown to drive a 60% increase in the use of top quality providers and a 12 percent total cost of care savings for employers and members.",324.7,337.1,positive,0.9980748891830444,0.9980748891830444
Last month.,337.9,338.7,neutral,0.9988445043563843,0.0
"The MS, released his 2025 star ratings, CVS, Health Integrated teams helped Aetna, deliver an exceptional result.",338.7,346.4,positive,0.9982525706291199,0.9982525706291199
We built upon our strong momentum from last year with 88% of our Medicare Advantage members and forced our plans or higher.,346.4,354.4,positive,0.9981964230537415,0.9981964230537415
Higher and more than two out of every three Aetna ma members and a plan rated four and a half Stars.,354.5,360.5,positive,0.9976847171783447,0.9976847171783447
Our commitment to outstanding service resulted in our highest ever member experience score since CMS launch the quality bonus to our program in 2012.,360.5,369.7,positive,0.9982116222381592,0.9982116222381592
"This was an impressive result, particularly as CMS continues to raise the bar, on what it takes to achieve a four star rating.",371.5,378.8,positive,0.9980722665786743,0.9980722665786743
"During our success, in this, crucial area was achieved by enhancing our cross.",379.6,383.5,positive,0.9982008934020996,0.9982008934020996
"Enterprise processes, and driving focused, and deliberate execution.",383.5,388.2,neutral,0.999071478843689,0.0
Strengthening our position for the future.,388.3,391.4,positive,0.9983502626419067,0.9983502626419067
This framework and approach are critical elements.,391.4,394.4,neutral,0.9995226860046387,0.0
As I Look to lead this organization through the opportunities and challenges ahead.,394.4,399.4,neutral,0.9995436072349548,0.0
"Ed, it will also require the right leadership.",400.1,402.6,neutral,0.9994454979896545,0.0
Team.,402.6,403.4,neutral,0.9884114265441895,0.0
"Today, we announced two leadership appointments that will help us drive better performance across the Enterprise and at Aetna.",403.4,410.0,positive,0.9981503486633301,0.9981503486633301
Specifically first Prime Shaw who has been running our Pharmacy and consumer.,410.0,415.9,neutral,0.9995156526565552,0.0
Wellness business is elevated to group president and will now also be responsible for the health services segment s. We appointed Steve Nelson as president of Aetna.,415.9,426.5,neutral,0.999276340007782,0.0
"Steve is an industry veteran who has successfully LED diverse managed care, companies and driven Innovation and growth throughout his career.",427.5,436.1,positive,0.9105883836746216,0.9105883836746216
Steve was a former CEO of United Healthcare and held.,437.2,440.1,neutral,0.999295711517334,0.0
Several leadership roles with a proven track record of delivering growth.,440.1,444.2,positive,0.992426872253418,0.992426872253418
Profitability.,444.6,445.6,neutral,0.9941014647483826,0.0
Improved Employee Engagement and customer satisfaction.,446.0,449.1,positive,0.9982037544250488,0.9982037544250488
I am confident both Prem and Steve will help us Advance our strategy and enable us to realize opportunities across Our businesses.,450.0,458.3,positive,0.9983375072479248,0.9983375072479248
