sentence,start_time,end_time,label,certainty_score,sentiment_score
"Greetings, welcome to Walmart fourth quarter fiscal year 2025 earnings call.",1.1,5.5,neutral,0.9996047616004944,0.0
"At this time, all participants are in a listen-only mode.",5.5,8.3,neutral,0.9995656609535217,0.0
A question and answer session will follow the formal presentation.,9.7,12.1,neutral,0.9995707869529724,0.0
"If anyone should require operator assistance during the conference, please press star Zero from your telephone keypad.",12.1,18.8,neutral,0.9994114637374878,0.0
Please note.,20.1,20.7,neutral,0.9988253712654114,0.0
This conference is being recorded.,20.7,21.6,neutral,0.9994768500328064,0.0
"And if this time, I'll now turn the conference over to Steph whistling senior vice president, investor relations Steph.",23.1,28.9,neutral,0.9995872378349304,0.0
You may begin.,28.9,30.0,neutral,0.9990770816802979,0.0
Thank you.,30.5,31.0,neutral,0.9991152882575989,0.0
Welcome everyone.,31.0,32.0,neutral,0.9991484880447388,0.0
"We appreciate you joining us and your interest in Walmart, joining me today from our home office in Bentonville, AR Walmart CEO, Doug mcmillon and CFO John David Rainey.",32.3,42.4,neutral,0.9995582699775696,0.0
Doug and John David will First.,43.3,44.9,neutral,0.9994857311248779,0.0
Share their views on the quarter and then we'll open up the line for your questions during the question and answer portion.,44.9,50.9,neutral,0.9995120763778687,0.0
"We will be joined by our segment CEOs, John furniture from Walmart U.S, Kath Maclay from Walmart International, and Chris Nicholas from Sam's Club for additional detail on our results.",50.9,63.5,neutral,0.9996223449707031,0.0
"Including highlights by segment, please see our earnings release and accompanying presentation on our website.",63.5,69.8,neutral,0.999640941619873,0.0
We will make every effort to answer as many of your questions as we can in the hour.,70.8,74.8,positive,0.9882562756538391,0.9882562756538391
We have scheduled for this call as a courtesy to others.,74.8,78.1,neutral,0.9993196725845337,0.0
Please limit yourself to one question.,78.1,80.2,neutral,0.9979349374771118,0.0
"Today's call is being recorded and management may make forward-looking statements, these statements are subject to risks and uncertainties that could cause actual results to differ materially from these statements.",81.4,92.9,neutral,0.9995896220207214,0.0
"These risks and uncertainties include, but are not limited to the factors.",93.5,97.6,neutral,0.9994787573814392,0.0
"Identified in our filings with the sec, please review our press release and accompanying.",97.6,102.8,neutral,0.9996273517608643,0.0
Slide presentation for a cautionary.,102.8,105.1,neutral,0.9995375871658325,0.0
Statement regarding forward-looking statements as well as our entire Safe Harbor and non-gaap Reconciliation.,105.1,111.1,neutral,0.9995939135551453,0.0
Ins on our website at stock dot Walmart.com.,111.2,114.5,neutral,0.9985179305076599,0.0
Doug that concludes my intro.,114.7,116.9,neutral,0.9993255138397217,0.0
We're ready to begin.,116.9,118.0,positive,0.9976179003715515,0.9976179003715515
